FL,ISA,TOW,TIME,DIST,FUEL,TAS
15,10,158.73264,2,4,469.5846185,134
15,10,163.14188,2,4,487.2215995,136
15,10,167.55112,2,5,504.8585804,137
15,10,171.96036,2,5,522.4955614,139
15,15,114.64024,1,3,321.8749028,128
15,15,119.04948,1,3,335.1026385,128
15,15,123.45872,2,3,350.5349969,128
15,15,127.86796,2,3,365.9673553,129
15,15,132.2772,2,4,381.3997136,129
15,15,136.68644,2,4,396.832072,130
15,15,141.09568,2,4,414.4690529,130
15,15,145.50492,2,4,429.9014113,131
15,15,149.91416,2,4,447.5383923,132
15,15,154.3234,2,4,465.1753732,133
15,15,158.73264,2,5,482.8123542,134
15,15,163.14188,2,5,502.6539578,135
15,15,167.55112,2,5,520.2909388,137
15,15,171.96036,2,5,540.1325424,138
15,20,114.64024,2,3,330.6933933,123
15,20,119.04948,2,3,346.1257517,124
15,20,123.45872,2,3,361.55811,124
15,20,127.86796,2,4,379.195091,124
15,20,132.2772,2,4,394.6274493,125
15,20,136.68644,2,4,412.2644303,125
15,20,141.09568,2,4,429.9014113,126
15,20,145.50492,2,4,447.5383923,127
15,20,149.91416,2,4,465.1753732,127
15,20,154.3234,2,5,485.0169768,128
15,20,158.73264,2,5,504.8585804,129
15,20,163.14188,2,5,524.700184,130
15,20,167.55112,2,5,544.5417876,131
15,20,171.96036,2,5,566.5880139,132
50,-20,114.64024,2,5,434.3106565,162
50,-20,119.04948,1,5,449.7430149,161
50,-20,123.45872,1,4,469.5846185,161
50,-20,127.86796,1,6,491.6308447,163
50,-20,132.2772,1,6,557.7695234,162
50,-20,136.68644,3,5,529.1094293,162
50,-20,141.09568,3,7,551.1556555,163
50,-20,145.50492,3,6,570.9972591,163
50,-20,149.91416,3,6,588.6342401,164
50,-20,154.3234,3,6,610.6804663,165
50,-20,158.73264,2,7,632.7266925,166
50,-20,163.14188,2,7,652.5682961,166
50,-20,167.55112,2,6,672.4098997,169
50,-20,171.96036,2,8,690.0468807,170
50,-15,114.64024,2,5,454.1522601,160
50,-15,119.04948,2,5,469.5846185,159
50,-15,123.45872,2,5,489.4262221,159
50,-15,127.86796,3,6,513.6770709,160
50,-15,132.2772,3,6,582.0203722,160
50,-15,136.68644,3,6,555.5649007,160
50,-15,141.09568,3,7,577.611127,161
50,-15,145.50492,3,7,597.4527306,160
50,-15,149.91416,3,7,619.4989568,161
50,-15,154.3234,3,6,643.7498056,163
50,-15,158.73264,3,8,665.7960318,164
50,-15,163.14188,3,8,690.0468807,162
50,-15,167.55112,3,7,712.0931069,165
50,-15,171.96036,2,9,731.9347105,166
50,-10,114.64024,2,6,469.5846185,162
50,-10,119.04948,2,6,487.2215995,161
50,-10,123.45872,2,5,507.0632031,161
50,-10,127.86796,2,7,531.3140519,162
50,-10,132.2772,2,7,599.6573532,162
50,-10,136.68644,3,6,575.4065043,162
50,-10,141.09568,3,8,597.4527306,163
50,-10,145.50492,3,8,621.7035794,162
50,-10,149.91416,3,7,643.7498056,164
50,-10,154.3234,3,7,670.2052771,164
50,-10,158.73264,3,9,694.4561259,165
50,-10,163.14188,3,8,718.7069748,164
50,-10,167.55112,3,8,742.9578236,167
50,-10,171.96036,3,10,767.2086725,168
50,0,114.64024,2,6,485.0169768,169
50,0,119.04948,2,6,504.8585804,169
50,0,123.45872,2,6,526.9048067,169
50,0,127.86796,2,7,551.1556555,170
50,0,132.2772,2,7,597.4527306,170
50,0,136.68644,3,7,597.4527306,170
50,0,141.09568,3,8,621.7035794,171
50,0,145.50492,3,8,645.9544282,171
50,0,149.91416,3,8,670.2052771,172
50,0,154.3234,3,8,696.6607486,173
50,0,158.73264,3,9,723.11622,174
50,0,163.14188,3,9,749.5716915,174
50,0,167.55112,3,9,776.0271629,176
50,0,171.96036,3,10,802.4826344,177
50,10,114.64024,2,6,500.4493352,176
50,10,119.04948,2,6,522.4955614,177
50,10,123.45872,2,7,546.7464103,177
50,10,127.86796,2,7,570.9972591,178
50,10,132.2772,2,7,595.2481079,178
50,10,136.68644,3,8,619.4989568,178
50,10,141.09568,3,8,645.9544282,179
50,10,145.50492,3,8,670.2052771,180
50,10,149.91416,3,9,696.6607486,180
50,10,154.3234,3,9,723.11622,182
50,10,158.73264,3,9,751.7763141,183
50,10,163.14188,3,10,780.4364082,184
50,10,167.55112,3,10,809.0965023,185
50,10,171.96036,3,10,837.7565964,186
50,15,114.64024,2,7,515.8816935,178
50,15,119.04948,2,7,540.1325424,179
50,15,123.45872,2,7,564.3833912,179
50,15,127.86796,3,8,588.6342401,180
50,15,132.2772,3,8,612.8850889,180
50,15,136.68644,3,8,639.3405604,180
50,15,141.09568,3,9,665.7960318,181
50,15,145.50492,3,9,694.4561259,182
50,15,149.91416,3,9,720.9115974,183
50,15,154.3234,3,10,749.5716915,183
50,15,158.73264,3,10,780.4364082,184
50,15,163.14188,3,10,809.0965023,186
50,15,167.55112,3,11,839.961219,187
50,15,171.96036,4,11,873.0305583,188
50,20,114.64024,2,7,535.7232971,176
50,20,119.04948,3,7,559.974146,177
50,20,123.45872,3,8,584.2249948,177
50,20,127.86796,3,8,610.6804663,177
50,20,132.2772,3,8,637.1359378,178
50,20,136.68644,3,9,665.7960318,178
50,20,141.09568,3,9,692.2515033,179
50,20,145.50492,3,10,720.9115974,179
50,20,149.91416,3,10,751.7763141,180
50,20,154.3234,3,10,782.6410308,181
50,20,158.73264,4,11,813.5057475,182
50,20,163.14188,4,11,846.5750868,182
50,20,167.55112,4,12,879.6444262,183
50,20,171.96036,4,12,914.9183881,184
100,-20,114.64024,2,8,654.7729187,198
100,-20,119.04948,2,10,683.4330128,197
100,-20,123.45872,2,9,714.2977295,199
100,-20,127.86796,4,10,742.9578236,199
100,-20,132.2772,4,10,846.5750868,198
100,-20,136.68644,3,11,804.687257,198
100,-20,141.09568,3,10,835.5519737,199
100,-20,145.50492,3,11,864.2120678,199
100,-20,149.91416,3,13,897.2814072,200
100,-20,154.3234,5,12,928.1461239,202
100,-20,158.73264,4,13,961.2154632,201
100,-20,163.14188,4,12,994.2848025,202
100,-20,167.55112,4,13,1029.558764,203
100,-20,171.96036,4,14,1062.628104,205
100,-15,114.64024,3,9,685.6376354,198
100,-15,119.04948,2,11,714.2977295,197
100,-15,123.45872,2,10,747.3670689,199
100,-15,127.86796,4,12,780.4364082,198
100,-15,132.2772,4,11,886.258294,198
100,-15,136.68644,4,12,846.5750868,197
100,-15,141.09568,4,12,879.6444262,199
100,-15,145.50492,3,13,910.5091429,198
100,-15,149.91416,3,14,947.9877275,200
100,-15,154.3234,5,14,981.0570668,201
100,-15,158.73264,5,15,1018.535651,200
100,-15,163.14188,5,14,1053.809613,201
100,-15,167.55112,4,15,1093.492821,202
100,-15,171.96036,4,16,1130.971405,203
100,-10,114.64024,3,10,712.0931069,200
100,-10,119.04948,3,12,742.9578236,200
100,-10,123.45872,2,11,778.2317856,201
100,-10,127.86796,4,13,811.3011249,201
100,-10,132.2772,4,12,919.3276334,200
100,-10,136.68644,4,14,881.8490488,200
100,-10,141.09568,4,13,917.1230108,202
100,-10,145.50492,4,14,952.3969727,201
100,-10,149.91416,3,16,989.8755573,202
100,-10,154.3234,5,15,1027.354142,204
100,-10,158.73264,5,16,1067.037349,203
100,-10,163.14188,5,16,1106.720556,204
100,-10,167.55112,5,17,1148.608386,205
100,-10,171.96036,5,18,1190.496216,206
100,0,114.64024,3,11,740.753201,207
100,0,119.04948,3,12,773.8225403,207
100,0,123.45872,3,12,809.0965023,208
100,0,127.86796,4,13,844.3704642,208
100,0,132.2772,4,13,917.1230108,208
100,0,136.68644,4,14,917.1230108,208
100,0,141.09568,4,14,954.6015953,209
100,0,145.50492,4,15,992.0801799,209
100,0,149.91416,4,16,1031.763387,210
100,0,154.3234,5,16,1071.446594,211
100,0,158.73264,5,17,1113.334424,211
100,0,163.14188,5,17,1155.222254,212
100,0,167.55112,5,18,1199.314706,213
100,0,171.96036,5,19,1243.407159,214
100,10,114.64024,3,12,769.4132951,214
100,10,119.04948,3,12,804.687257,214
100,10,123.45872,4,13,839.961219,215
100,10,127.86796,4,13,877.4398036,215
100,10,132.2772,4,14,914.9183881,216
100,10,136.68644,4,14,952.3969727,216
100,10,141.09568,4,15,992.0801799,216
100,10,145.50492,4,16,1031.763387,217
100,10,149.91416,5,16,1073.651217,218
100,10,154.3234,5,17,1115.539047,218
100,10,158.73264,5,18,1159.631499,219
100,10,163.14188,5,18,1203.723952,220
100,10,167.55112,5,19,1250.021027,221
100,10,171.96036,5,20,1296.318102,222
100,15,114.64024,3,13,795.8687665,216
100,15,119.04948,4,13,833.3473511,217
100,15,123.45872,4,14,870.8259357,217
100,15,127.86796,4,14,908.3045203,218
100,15,132.2772,4,15,947.9877275,218
100,15,136.68644,4,16,987.6709347,219
100,15,141.09568,4,16,1029.558764,219
100,15,145.50492,5,17,1073.651217,220
100,15,149.91416,5,18,1115.539047,220
100,15,154.3234,5,18,1161.836122,221
100,15,158.73264,5,19,1208.133197,222
100,15,163.14188,5,20,1256.634895,223
100,15,167.55112,6,21,1305.136592,224
100,15,171.96036,6,22,1355.842913,225
100,20,114.64024,4,14,826.7334833,216
100,20,119.04948,4,14,864.2120678,217
100,20,123.45872,4,15,903.895275,217
100,20,127.86796,4,16,945.7831048,217
100,20,132.2772,4,16,987.6709347,218
100,20,136.68644,5,17,1029.558764,218
100,20,141.09568,5,18,1073.651217,219
100,20,145.50492,5,19,1119.948292,219
100,20,149.91416,5,19,1166.245367,220
100,20,154.3234,5,20,1214.747065,220
100,20,158.73264,6,21,1265.453385,221
100,20,163.14188,6,22,1316.159705,222
100,20,167.55112,6,23,1369.070648,223
100,20,171.96036,6,24,1424.186214,223
120,-20,114.64024,3,12,811.3011249,222
120,-20,119.04948,3,13,846.5750868,224
120,-20,123.45872,3,12,881.8490488,223
120,-20,127.86796,4,13,917.1230108,225
120,-20,132.2772,4,14,1047.195745,225
120,-20,136.68644,4,15,992.0801799,224
120,-20,141.09568,4,16,1033.96801,224
120,-20,145.50492,3,17,1069.241972,225
120,-20,149.91416,5,16,1111.129801,225
120,-20,154.3234,5,17,1146.403763,226
120,-20,158.73264,5,17,1190.496216,228
120,-20,163.14188,4,18,1232.384046,227
120,-20,167.55112,6,19,1269.86263,229
120,-20,171.96036,6,19,1309.545837,230
120,-15,114.64024,4,14,855.3935773,223
120,-15,119.04948,3,15,892.8721619,224
120,-15,123.45872,3,14,930.3507465,224
120,-15,127.86796,5,15,970.0339537,226
120,-15,132.2772,5,16,1100.106688,225
120,-15,136.68644,4,17,1049.400368,225
120,-15,141.09568,4,18,1095.697443,225
120,-15,145.50492,4,19,1133.176028,226
120,-15,149.91416,6,18,1179.473103,226
120,-15,154.3234,6,19,1221.360933,227
120,-15,158.73264,5,20,1267.658008,228
120,-15,163.14188,5,21,1313.955083,228
120,-15,167.55112,7,22,1358.047535,229
120,-15,171.96036,7,23,1404.34461,230
120,-10,114.64024,4,15,892.8721619,226
120,-10,119.04948,4,16,932.5553691,228
120,-10,123.45872,3,16,972.2385763,227
120,-10,127.86796,5,17,1014.126406,229
120,-10,132.2772,5,18,1148.608386,229
120,-10,136.68644,5,19,1100.106688,229
120,-10,141.09568,5,20,1146.403763,228
120,-10,145.50492,4,21,1190.496216,230
120,-10,149.91416,6,21,1238.997914,229
120,-10,154.3234,6,22,1283.090366,230
120,-10,158.73264,6,23,1333.796686,232
120,-10,163.14188,6,24,1384.503007,231
120,-10,167.55112,7,25,1433.004704,232
120,-10,171.96036,7,26,1483.711025,233
120,0,114.64024,4,16,928.1461239,234
120,0,119.04948,4,17,970.0339537,235
120,0,123.45872,4,17,1011.921783,235
120,0,127.86796,5,18,1056.014236,236
120,0,132.2772,5,19,1146.403763,236
120,0,136.68644,5,20,1146.403763,236
120,0,141.09568,5,21,1194.905461,236
120,0,145.50492,5,22,1241.202536,237
120,0,149.91416,6,22,1291.908856,237
120,0,154.3234,6,23,1340.410554,238
120,0,158.73264,6,24,1393.321497,239
120,0,163.14188,6,25,1446.23244,239
120,0,167.55112,7,26,1499.143383,240
120,0,171.96036,7,27,1554.258949,241
120,10,114.64024,4,17,963.4200858,242
120,10,119.04948,4,18,1007.512538,242
120,10,123.45872,5,18,1051.604991,243
120,10,127.86796,5,19,1097.902066,243
120,10,132.2772,5,20,1144.199141,243
120,10,136.68644,5,21,1192.700839,243
120,10,141.09568,5,22,1243.407159,244
120,10,145.50492,6,23,1291.908856,244
120,10,149.91416,6,23,1344.819799,245
120,10,154.3234,6,24,1397.730742,246
120,10,158.73264,6,25,1452.846308,246
120,10,163.14188,6,26,1507.961873,247
120,10,167.55112,7,27,1565.282062,248
120,10,171.96036,7,28,1624.806872,249
120,15,114.64024,4,18,1000.89867,245
120,15,119.04948,5,19,1047.195745,246
120,15,123.45872,5,20,1093.492821,246
120,15,127.86796,5,21,1141.994518,246
120,15,132.2772,5,22,1192.700839,247
120,15,136.68644,6,23,1243.407159,247
120,15,141.09568,6,24,1294.113479,247
120,15,145.50492,6,25,1349.229045,248
120,15,149.91416,6,26,1404.34461,248
120,15,154.3234,6,27,1459.460176,249
120,15,158.73264,7,28,1518.984987,250
120,15,163.14188,7,29,1578.509797,250
120,15,167.55112,7,30,1640.239231,251
120,15,171.96036,7,31,1704.173287,252
120,20,114.64024,5,20,1044.991123,246
120,20,119.04948,5,21,1093.492821,246
120,20,123.45872,5,22,1141.994518,247
120,20,127.86796,6,23,1194.905461,247
120,20,132.2772,6,24,1245.611781,247
120,20,136.68644,6,25,1300.727347,248
120,20,141.09568,6,26,1355.842913,248
120,20,145.50492,7,27,1413.163101,249
120,20,149.91416,7,28,1472.687911,249
120,20,154.3234,7,29,1534.417345,250
120,20,158.73264,7,31,1596.146778,250
120,20,163.14188,8,32,1660.080834,251
120,20,167.55112,8,33,1728.424136,251
120,20,171.96036,8,35,1798.97206,252
140,-20,114.64024,4,14,901.6906524,237
140,-20,119.04948,4,14,941.3738596,237
140,-20,123.45872,4,15,981.0570668,239
140,-20,127.86796,4,16,1020.740274,238
140,-20,132.2772,5,17,1168.44999,238
140,-20,136.68644,5,17,1106.720556,238
140,-20,141.09568,5,18,1150.813009,237
140,-20,145.50492,4,19,1190.496216,239
140,-20,149.91416,4,19,1234.588668,239
140,-20,154.3234,6,20,1278.681121,240
140,-20,158.73264,6,20,1322.773573,242
140,-20,163.14188,5,23,1369.070648,241
140,-20,167.55112,5,23,1415.367723,243
140,-20,171.96036,6,24,1463.869421,244
140,-15,114.64024,5,16,954.6015953,239
140,-15,119.04948,5,17,996.4894251,239
140,-15,123.45872,4,18,1040.581878,240
140,-15,127.86796,4,19,1082.469707,240
140,-15,132.2772,6,19,1234.588668,240
140,-15,136.68644,6,20,1177.26848,239
140,-15,141.09568,5,21,1223.565555,239
140,-15,145.50492,5,22,1269.86263,241
140,-15,149.91416,5,23,1316.159705,240
140,-15,154.3234,7,23,1369.070648,241
140,-15,158.73264,6,24,1417.572346,243
140,-15,163.14188,6,27,1468.278666,242
140,-15,167.55112,6,27,1521.189609,243
140,-15,171.96036,7,28,1578.509797,245
140,-10,114.64024,5,18,1000.89867,243
140,-10,119.04948,5,19,1044.991123,243
140,-10,123.45872,5,20,1091.288198,244
140,-10,127.86796,5,21,1137.585273,244
140,-10,132.2772,6,22,1291.908856,244
140,-10,136.68644,6,23,1236.793291,243
140,-10,141.09568,6,24,1287.499611,243
140,-10,145.50492,6,25,1336.001309,245
140,-10,149.91416,5,26,1388.912252,244
140,-10,154.3234,7,26,1444.027817,245
140,-10,158.73264,7,27,1496.93876,247
140,-10,163.14188,7,30,1554.258949,246
140,-10,167.55112,6,31,1611.579137,247
140,-10,171.96036,8,31,1673.30857,248
140,0,114.64024,5,19,1042.7865,250
140,0,119.04948,5,20,1089.083575,250
140,0,123.45872,5,21,1137.585273,251
140,0,127.86796,5,22,1186.086971,251
140,0,132.2772,6,23,1289.704234,251
140,0,136.68644,6,24,1289.704234,251
140,0,141.09568,6,25,1342.615177,251
140,0,145.50492,6,26,1395.52612,252
140,0,149.91416,6,27,1450.641685,252
140,0,154.3234,7,28,1507.961873,253
140,0,158.73264,7,29,1565.282062,254
140,0,163.14188,7,31,1624.806872,254
140,0,167.55112,7,32,1686.536306,255
140,0,171.96036,8,33,1750.470362,256
140,10,114.64024,5,20,1084.67433,257
140,10,119.04948,5,21,1133.176028,257
140,10,123.45872,5,22,1183.882348,258
140,10,127.86796,5,23,1234.588668,258
140,10,132.2772,6,24,1287.499611,258
140,10,136.68644,6,25,1342.615177,259
140,10,141.09568,6,26,1397.730742,259
140,10,145.50492,6,27,1455.050931,259
140,10,149.91416,7,28,1512.371119,260
140,10,154.3234,7,30,1571.895929,261
140,10,158.73264,7,31,1633.625363,261
140,10,163.14188,7,32,1695.354796,262
140,10,167.55112,8,33,1761.493475,263
140,10,171.96036,8,35,1827.632154,264
140,15,114.64024,5,22,1130.971405,261
140,15,119.04948,5,23,1181.677725,261
140,15,123.45872,6,24,1234.588668,262
140,15,127.86796,6,25,1289.704234,262
140,15,132.2772,6,27,1344.819799,262
140,15,136.68644,6,28,1402.139988,263
140,15,141.09568,7,29,1461.664798,263
140,15,145.50492,7,30,1521.189609,263
140,15,149.91416,7,31,1585.123665,264
140,15,154.3234,7,33,1646.853099,265
140,15,158.73264,8,34,1712.991777,265
140,15,163.14188,8,35,1781.335079,266
140,15,167.55112,8,37,1851.883002,267
140,15,171.96036,9,38,1922.430926,267
140,20,114.64024,6,24,1183.882348,263
140,20,119.04948,6,26,1236.793291,263
140,20,123.45872,6,27,1294.113479,263
140,20,127.86796,6,28,1351.433667,264
140,20,132.2772,7,29,1410.958478,264
140,20,136.68644,7,31,1472.687911,264
140,20,141.09568,7,32,1534.417345,265
140,20,145.50492,8,33,1600.556024,265
140,20,149.91416,8,35,1666.694702,265
140,20,154.3234,8,36,1737.242626,266
140,20,158.73264,8,38,1807.79055,266
140,20,163.14188,9,39,1880.543097,267
140,20,167.55112,9,41,1957.704888,267
140,20,171.96036,10,42,2037.071303,268
160,-20,114.64024,4,16,1000.89867,250
160,-20,119.04948,5,17,1040.581878,250
160,-20,123.45872,5,18,1086.878953,251
160,-20,127.86796,5,20,1130.971405,251
160,-20,132.2772,4,21,1294.113479,251
160,-20,136.68644,6,21,1225.770178,250
160,-20,141.09568,6,21,1267.658008,252
160,-20,145.50492,5,22,1318.364328,252
160,-20,149.91416,5,24,1366.866026,253
160,-20,154.3234,7,24,1415.367723,253
160,-20,158.73264,6,24,1463.869421,254
160,-20,163.14188,6,27,1512.371119,254
160,-20,167.55112,5,27,1567.486684,255
160,-20,171.96036,7,28,1618.193005,257
160,-15,114.64024,4,19,1062.628104,252
160,-15,119.04948,6,20,1106.720556,252
160,-15,123.45872,6,21,1157.426877,254
160,-15,127.86796,5,23,1205.928574,253
160,-15,132.2772,5,24,1373.479894,253
160,-15,136.68644,7,25,1309.545837,253
160,-15,141.09568,6,25,1358.047535,254
160,-15,145.50492,6,26,1413.163101,254
160,-15,149.91416,6,28,1466.074044,255
160,-15,154.3234,8,29,1521.189609,255
160,-15,158.73264,7,29,1576.305175,256
160,-15,163.14188,7,31,1631.42074,256
160,-15,167.55112,7,32,1695.354796,257
160,-15,171.96036,8,34,1752.674984,258
160,-10,114.64024,5,22,1117.743669,257
160,-10,119.04948,6,23,1164.040744,256
160,-10,123.45872,6,23,1216.951687,258
160,-10,127.86796,6,26,1269.86263,258
160,-10,132.2772,6,27,1441.823195,257
160,-10,136.68644,7,28,1380.093761,257
160,-10,141.09568,7,29,1433.004704,259
160,-10,145.50492,7,29,1492.529515,258
160,-10,149.91416,7,32,1552.054326,260
160,-10,154.3234,8,32,1611.579137,259
160,-10,158.73264,8,33,1671.103947,261
160,-10,163.14188,8,36,1732.833381,260
160,-10,167.55112,7,36,1801.176682,261
160,-10,171.96036,9,39,1867.315361,262
160,0,114.64024,5,23,1164.040744,264
160,0,119.04948,6,24,1214.747065,264
160,0,123.45872,6,25,1269.86263,265
160,0,127.86796,6,27,1324.978196,265
160,0,132.2772,6,28,1439.618572,265
160,0,136.68644,7,29,1439.618572,265
160,0,141.09568,7,30,1496.93876,266
160,0,145.50492,7,31,1558.668194,266
160,0,149.91416,7,33,1620.397627,267
160,0,154.3234,8,34,1684.331683,267
160,0,158.73264,8,35,1748.265739,268
160,0,163.14188,8,37,1814.404418,268
160,0,167.55112,8,38,1884.952342,269
160,0,171.96036,9,40,1955.500266,270
160,10,114.64024,5,24,1210.337819,271
160,10,119.04948,6,25,1265.453385,272
160,10,123.45872,6,27,1322.773573,272
160,10,127.86796,6,28,1380.093761,272
160,10,132.2772,6,29,1437.41395,273
160,10,136.68644,7,30,1499.143383,273
160,10,141.09568,7,31,1560.872816,273
160,10,145.50492,7,33,1624.806872,274
160,10,149.91416,7,34,1688.740928,274
160,10,154.3234,8,36,1757.08423,275
160,10,158.73264,8,37,1825.427531,275
160,10,163.14188,8,38,1895.975455,276
160,10,167.55112,9,40,1968.728001,277
160,10,171.96036,9,41,2043.685171,278
160,15,114.64024,6,27,1265.453385,276
160,15,119.04948,6,28,1322.773573,276
160,15,123.45872,6,29,1382.298384,276
160,15,127.86796,7,31,1444.027817,277
160,15,132.2772,7,32,1505.757251,277
160,15,136.68644,7,33,1569.691307,277
160,15,141.09568,8,35,1635.829986,278
160,15,145.50492,8,36,1704.173287,278
160,15,149.91416,8,38,1774.721211,279
160,15,154.3234,8,39,1847.473757,279
160,15,158.73264,9,41,1920.226304,280
160,15,163.14188,9,43,1997.388096,280
160,15,167.55112,9,44,2074.549887,281
160,15,171.96036,10,46,2158.325547,282
160,20,114.64024,6,30,1327.182818,278
160,20,119.04948,7,31,1388.912252,278
160,20,123.45872,7,32,1452.846308,279
160,20,127.86796,7,34,1518.984987,279
160,20,132.2772,8,35,1585.123665,279
160,20,136.68644,8,37,1653.466967,280
160,20,141.09568,8,39,1726.219513,280
160,20,145.50492,9,40,1798.97206,280
160,20,149.91416,9,42,1873.929229,281
160,20,154.3234,9,44,1953.295643,281
160,20,158.73264,10,46,2032.662057,282
160,20,163.14188,10,47,2116.437717,282
160,20,167.55112,11,49,2202.417999,283
160,20,171.96036,11,52,2292.807527,283
180,-20,114.64024,5,20,1095.697443,263
180,-20,119.04948,4,21,1141.994518,263
180,-20,123.45872,6,21,1190.496216,263
180,-20,127.86796,6,23,1241.202536,264
180,-20,132.2772,5,23,1419.776969,264
180,-20,136.68644,5,24,1342.615177,264
180,-20,141.09568,7,26,1395.52612,263
180,-20,145.50492,6,26,1446.23244,265
180,-20,149.91416,6,27,1501.348006,265
180,-20,154.3234,7,27,1554.258949,266
180,-20,158.73264,7,29,1607.169891,266
180,-20,163.14188,6,31,1664.49008,267
180,-20,167.55112,8,30,1719.605645,269
180,-20,171.96036,7,32,1776.925833,268
180,-15,114.64024,5,24,1170.654612,266
180,-15,119.04948,5,24,1221.360933,266
180,-15,123.45872,7,25,1274.271876,265
180,-15,127.86796,6,27,1329.387441,267
180,-15,132.2772,6,28,1514.575741,267
180,-15,136.68644,6,28,1444.027817,267
180,-15,141.09568,7,30,1501.348006,266
180,-15,145.50492,7,31,1558.668194,268
180,-15,149.91416,7,33,1620.397627,267
180,-15,154.3234,8,33,1679.922438,269
180,-15,158.73264,8,35,1743.856494,268
180,-15,163.14188,8,37,1807.79055,270
180,-15,167.55112,9,37,1871.724606,271
180,-15,171.96036,9,39,1937.863285,270
180,-10,114.64024,6,27,1236.793291,271
180,-10,119.04948,6,28,1289.704234,271
180,-10,123.45872,7,28,1347.024422,270
180,-10,127.86796,7,31,1406.549233,272
180,-10,132.2772,7,32,1596.146778,272
180,-10,136.68644,6,32,1527.803477,271
180,-10,141.09568,8,35,1591.737533,271
180,-10,145.50492,8,35,1653.466967,273
180,-10,149.91416,8,37,1721.810268,272
180,-10,154.3234,9,38,1787.948946,274
180,-10,158.73264,9,40,1856.292248,273
180,-10,163.14188,9,42,1929.044794,274
180,-10,167.55112,10,42,2001.797341,275
180,-10,171.96036,10,45,2074.549887,275
180,0,114.64024,6,28,1289.704234,278
180,0,119.04948,6,29,1347.024422,278
180,0,123.45872,7,30,1406.549233,278
180,0,127.86796,7,32,1468.278666,279
180,0,132.2772,7,33,1596.146778,279
180,0,136.68644,7,34,1596.146778,279
180,0,141.09568,8,36,1662.285457,279
180,0,145.50492,8,37,1728.424136,280
180,0,149.91416,8,39,1798.97206,280
180,0,154.3234,9,40,1869.519983,281
180,0,158.73264,9,42,1942.27253,281
180,0,163.14188,9,44,2017.229699,282
180,0,167.55112,10,45,2094.391491,283
180,0,171.96036,10,47,2173.757905,283
180,10,114.64024,6,29,1342.615177,285
180,10,119.04948,6,30,1404.34461,285
180,10,123.45872,7,32,1466.074044,286
180,10,127.86796,7,33,1530.0081,286
180,10,132.2772,7,34,1596.146778,286
180,10,136.68644,8,36,1664.49008,287
